Name,Longitude,Latitude,World Bank region,Node Degree
New Zealand,174.776,-41.2865,Other,
Australia,149.129,-35.282,Other,649.0
Uruguay,-56.0675,-34.8941,Latin America & the Caribbean,81.0
Argentina,-58.4173,-34.6118,Latin America & the Caribbean,352.0
Chile,-70.6475,-33.475,Latin America & the Caribbean,194.0
Lesotho,27.7167,-29.5208,Sub-Saharan Africa,82.0
Eswatini,31.4659,-26.5225,Sub-Saharan Africa,
Mozambique,32.5713,-25.9664,Sub-Saharan Africa,260.0
South Africa,28.1871,-25.746,Sub-Saharan Africa,
Paraguay,-57.6362,-25.3005,Latin America & the Caribbean,59.0
Botswana,25.9201,-24.6544,Sub-Saharan Africa,92.0
Namibia,17.0931,-22.5648,Sub-Saharan Africa,116.0
New Caledonia,166.464,-22.2677,Other,
Tonga,-175.216,-21.136,East Asia and Pacific,65.0
Madagascar,45.7167,-20.4667,Sub-Saharan Africa,255.0
Mauritius,57.4977,-20.1605,Sub-Saharan Africa,115.0
Fiji,178.399,-18.1149,East Asia and Pacific,75.0
Zimbabwe,31.0672,-17.8312,Sub-Saharan Africa,149.0
Vanuatu,168.321,-17.7404,East Asia and Pacific,65.0
French Polynesia,-149.57,-17.535,Other,
Brazil,-47.9292,-15.7801,Latin America & the Caribbean,341.0
Zambia,28.2937,-15.3982,Sub-Saharan Africa,167.0
American Samoa,-170.691,-14.2846,Other,
Bolivia,-66.1936,-13.9908,Latin America & the Caribbean,129.0
Malawi,33.7703,-13.9899,Sub-Saharan Africa,158.0
Samoa,-171.752,-13.8314,East Asia and Pacific,54.0
Peru,-77.0465,-12.0931,Latin America & the Caribbean,217.0
Comoros,43.2418,-11.6986,Sub-Saharan Africa,
Papua New Guinea,147.194,-9.47357,East Asia and Pacific,
Solomon Islands,159.949,-9.42676,East Asia and Pacific,
Angola,13.242,-8.81155,Sub-Saharan Africa,101.0
Tuvalu,179.089567,-8.6314877,East Asia and Pacific,55.0
Timor-Leste,125.567,-8.56667,East Asia and Pacific,
Indonesia,106.83,-6.19752,East Asia and Pacific,259.0
Tanzania,35.7382,-6.17486,Sub-Saharan Africa,217.0
Seychelles,55.4466,-4.6309,Sub-Saharan Africa,
"Congo, Dem. Rep.",15.3222,-4.325,Sub-Saharan Africa,
"Congo, Rep.",15.2662,-4.2767,Sub-Saharan Africa,
Burundi,29.3639,-3.3784,Sub-Saharan Africa,88.0
Rwanda,30.0587,-1.95325,Sub-Saharan Africa,191.0
Kenya,36.8126,-1.27975,Sub-Saharan Africa,238.0
Nauru,166.920867,-0.5477,Other,
Ecuador,-78.5243,-0.229498,Latin America & the Caribbean,117.0
Sao Tome and Principe,juin.71,0.20618,Sub-Saharan Africa,
Uganda,32.5729,0.314269,Sub-Saharan Africa,241.0
Gabon,9.45162,0.38832,Sub-Saharan Africa,78.0
Singapore,103.85,1.28941,Other,178.0
