Source,Target
Herbivore,Rainforest
Thermodynamics,Gravitation
Faroe_Islands,Republic_of_Ireland
Flag_of_Hong_Kong,China
Anarchism,Judaism
Dundee,Namibia
Caracas,Monaco
Telescope,Uranus
Snowdonia,Indian_Ocean
Bogotá,Mexico_City
Dolphin,Great_white_shark
Mammal,Extinct_birds
Bamako,Democratic_Republic_of_the_Congo
Mesopotamia,Culture
Bottlenose_Dolphin,Ammonite
Forest,Nature
Costa_Rica,U.S._state
Tajikistan,Bosnia_and_Herzegovina
Pakistan,Politics
Bandicoot,Elephant_bird
United_States_dollar,Venezuela
George_Washington,United_States_Congress
Margaret_Thatcher,Winston_Churchill
British_Indian_Ocean_Territory,Parliament_of_the_United_Kingdom
Tree_frog,Crustacean
Falkland_Islands,Tanzania
Canada,Earth
Afrikaans,Côte_d'Ivoire
Solar_eclipse,Planetary_nebula
Stonehenge,London
Cambodia,Istanbul
Country,Republic_of_Macedonia
Barbados,Martinique
Southern_Africa,Cameroon
Seaborgium,Lanthanum
North_Africa,Cayman_Islands
Tripoli,Romania
Shetland,Saint_Helena
Mao_Zedong,Mikhail_Gorbachev
Fox,Fish
African_dwarf_frog,Extinct_birds
People's_Republic_of_China,Mexico
Middle_Ages,King_Arthur
Carolus_Linnaeus,Platypus
Tunisia,Euro
Africa,Kuwait
Richard_II_of_England,Mary_I_of_England
Istanbul,East_Africa
Republic_of_Ireland,Panama
United_Kingdom,Devonian
Manila,Suriname
Ancient_Egypt,Ottoman_Empire
Age_of_Enlightenment,16th_century
Marshall_Islands,Bahamas
King_Arthur,House_of_Lords
Mongoose,Rainforest
Matter,Computer_science
Terrorism,Islam
List_of_world's_largest_lakes,Indian_Ocean
Crow,Mammoth
Luxembourg_(city),Republic_of_the_Congo
Microraptor,Brachiosaurus
Church_of_Ireland,18th_century
Platinum,Oxygen
"Victoria,_Seychelles",Costa_Rica
Haiti,Praia
Euro,Marseille
Greece,Somalia
Lake_Malawi,Dominican_Republic
Bison,Owl
Great_Moravia,Ancient_Egypt
South_Africa,Guinea
Gliese_876,Asteroid
Nile,Angola
Typhoon_Saomai_(2006),East_Timor
Shetland,Scottish_Highlands
"Miami,_Florida",Vienna
Liechtenstein,Suriname
White-tailed_Eagle,Albatross
Oceania,"Victoria,_Seychelles"
Soviet_Union,Turkey
Damascus,Jerusalem
Dominican_Republic,El_Salvador
South_China_Sea,Australia
Martinique,New_Zealand
Government,Republic_of_China
Europe,United_States
Forth_Bridge_(railway),British_Isles
Milan,Argentina
Malawi,The_Bahamas
Portugal,Gabon
Edward_VII_of_the_United_Kingdom,Monarchy
Loch_Ness,Ireland
Music_of_the_United_States,Southern_United_States
Red_Sea,Lake_Albert
Ivan_IV_of_Russia,Roman_Vishniac
Igneous_rock,Polonium
Sarajevo,Montenegro
Ireland,South_Korea
Israel,Estonia
France,Botswana
Dominican_Republic,Algeria
Venus,Meteor
Crystal,Mercury_(element)
Australia,Tunisia
Ivory,Meat
Luxembourg,England
Uganda,Scotland
Liberia,Fiji
Vegetation,Sun
Middle_East,Central_African_Republic
Maldives,Swaziland
Canada,Sea
John_Adams,Rhode_Island
Tree_frog,Reptile
"Baltimore,_Maryland",London
Volga_River,Slovakia
Morocco,Suez_Canal
Sudan,Bissau
Aye-aye,Crow
Dante_Alighieri,Homer
Palau,Hungary
Réunion,Jersey
Saxicola,Penguin
France,Rotterdam
Persian_Empire,Emirate
Sumatra,Pitcairn_Islands
Africa,Dominica
Fiji,Ghana
Bulgaria,Kuwait
British_monarchy,Battle_of_Britain
Pi,Moon
Pink_Pigeon,African_Grey_Hornbill
Praia,Guatemala
Guinea-Bissau,Soviet_Union
Gulf_of_Mexico,Solomon_Islands
Crustacean,Bird
Iraq_War,Libya
Oceania,Botswana
8th_century,Flat_Earth
Gibraltar,Andorra
Tonga,Finland
Atlantic_herring,Cane_Toad
Anglican_Church_of_Australia,Parliament_of_the_United_Kingdom
Swaziland,Netherlands
Selenium,Strontium
Biology,Environmental_science
Great_Crested_Grebe,Cane_Toad
Abkhazia,Uganda
Canterbury_Cathedral,Bristol
"Detroit,_Michigan",City
Marshall_Islands,South_Africa
Swan,Australian_Green_Tree_Frog
New_Zealand,Earth
Flemish_people,Guyana
Serbia,South_Africa
Haiti,Marshall_Islands
Pope_Pius_XII,Byzantine_Empire
Damascus,Mongol_Empire
Bissau,Morocco
Ancient_Rome,Ottoman_Empire
Ivory-billed_Woodpecker,Raven
Argentina,Tunis
Binary_star,Venus
Suburbs_of_Johannesburg,Goa
Pitcairn_Islands,Puerto_Rico
Hellenistic_Greece,Socrates
Luxembourg,China
Venus,HD_217107
Atom,Gas_giant
Berlin,Iceland
Cape_Porcupine,Brachiosaurus
Abu_Dhabi,Goa
Mesopotamia,Ancient_Greece
Austria,Nicaragua
Snow_Goose,Elephant_bird
Algeria,International_law
Antlion,Apple
Bahamas,Republic_of_Ireland
England,Morocco
Gossypium,Wood
Argon,Sulfur
Philippines,Portugal
Sudan,Brazil
Cuba,Taiwan
Bucharest,Slovakia
Vatican_City,Slovakia
Belgium,Madrid
Egg_(food),Maize
Lake_Superior,Great_Britain
Great_Lakes,Pollution
U.S._state,United_States_Senate
Wombat,Bird
Global_city,Country
Beirut,Tanzania
List_of_monarchs_in_the_British_Isles,Northern_Ireland
Economy_of_Scotland,Westminster_System
The_Last_Supper_(Leonardo),Constantine_I
American_Samoa,Russia
Denmark,British_Isles
Dysprosium,Metal
Tonga,North_Korea
Sumatra,Niger_River
Amber,Archaeology
Elephant_shrew,Chimpanzee
Umbrella_Cockatoo,Tree_Sparrow
Southern_Ocean,Democratic_Republic_of_the_Congo
Pleiades_(star_cluster),Pluto
Malta,Switzerland
Jordan,Barbados
Ottawa,China
Indonesia,Guam
Mackenzie_River,Ice_age
Lake_Tanganyika,São_Paulo
South_Korea,U.S._state
Snow_Goose,Antarctica
Iraq,Panama
Korea,South_America
Guinea-Bissau,Congo_River
Abbey,Canterbury
Antigua_and_Barbuda,Indonesia
Monaco,Caribbean_Sea
French_Polynesia,Lithuania
Florida,Ghana
Amazon_Rainforest,Sierra_Leone
Belize,French_Guiana
International_law,Belize
Sahara,Lake_Chad
Food,Wood
Vanuatu,Samoa
Ozone,Chemistry
French_Guiana,Lesotho
South_Georgia_and_the_South_Sandwich_Islands,Mediterranean_Sea
Bucharest,Venezuela
Rwanda,Bahamas
The_Gambia,Government
Austria,Guyana
The_Hague,Country
Haiti,Uruguay
Allosaurus,Flamingo
Barack_Obama,"Washington,_D.C."
Papua_New_Guinea,South_Africa
Roman_road,Roman_Britain
George_Eliot,William_Shakespeare
List_of_African_countries,India
Commonwealth_Games,List_of_countries
Spotted_Flycatcher,Tiger
Democratic_Republic_of_the_Congo,Fiji
House,Animal
United_States,Caspian_Sea
Geography_of_Africa,Sydney
Swaziland,Netherlands_Antilles
New_Caledonia,Switzerland
Slovenia,Berlin
Osmium,Dubnium
Cadmium,Uranium
Money,Electricity
Fossil,Volcano
East_Timor,Senegal
African_Union,Samoa
Stanley_Baldwin,British_monarchy
Canterbury_Cathedral,University_of_Cambridge
Iraq_War,Fascism
Funchal,Argentina
Constitutional_monarchy,Yemen
Vietnam,Baghdad
Republic_of_Macedonia,Russian_language
Rio_de_Janeiro,Dominican_Republic
