Source,Target
Americium,Hydrogen
Arctic,India
Pitcairn_Islands,France
Lithium,Nitrogen
William_II_of_England,British_Isles
Brussels,Portugal
Commonwealth_Games,Tourism
Rugby_football,United_States
Equatorial_Guinea,North_America
Palau,Israel
Linguistics,Latin
Germany,Global_city
Iran,Poland
Global_city,Russia
France,Santorini
Coronation_Street,London
Basel,Europe
Republic_of_the_Congo,India
British_Indian_Ocean_Territory,Russia
Botswana,Netherlands
Promethium,Hydrogen
"Newark,_New_Jersey",London
Belgium,Israel
Nottingham,Scotland
Orkney,North_America
Equatorial_Guinea,Belgium
Genoa,China
Poland,Canada
Volga_River,United_Kingdom
Cape_Verde,Greece
Portugal,New_Zealand
Military_dictatorship,Government
"Atlanta,_Georgia",India
Egypt,Rome
Mongolia,Islam
Antarctic_Treaty_System,North_America
India,Ancient_Greece
Bermuda,Scotland
England,Uganda
Neon,Electricity
Middle_Ages,Ancient_Greece
Uruguay,Africa
Florida,California
Astatine,Copper
Falkland_Islands,Oceania
Minnesota,Chicago
Monarchy,Egypt
Belarus,Switzerland
Nazi_Germany,England
Amsterdam,Belgium
France,Global
Turkish_Republic_of_Northern_Cyprus,Spain
Ununoctium,Hydrogen
Japan,Judaism
European_Kingfisher,United_Kingdom
Palestinian_territories,Russia
United_Kingdom,Henry_IV_of_England
Italy,Venezuela
France,Nationalism
