Source,Target
Mongolia,Islam
Brussels,Portugal
Botswana,Netherlands
Monarchy,Egypt
Bosnia_and_Herzegovina,Asia
Americium,Hydrogen
Nazi_Germany,England
Kenya,Iceland
Florida,California
Poland,Canada
Burkina_Faso,Gabon
Ununoctium,Hydrogen
Arctic,India
Republic_of_the_Congo,India
"Atlanta,_Georgia",India
Kuwait,Hungary
Nazi_Germany,Switzerland
Turkish_Republic_of_Northern_Cyprus,Spain
Iran,Poland
Nottingham,Scotland
Tripoli,Poland
Minnesota,Chicago
Guinea-Bissau,Barbados
Niger,Middle_East
Equatorial_Guinea,North_America
Zimbabwe,Central_African_Republic
Basel,Europe
Global_city,Russia
Uruguay,Africa
Rugby_football,United_States
