Source,Target
Ukraine,Moscow
Luxembourg_(city),Berlin
Nazi_Germany,England
Poland,Canada
Salt,Lead
Bosnia_and_Herzegovina,Asia
Tripoli,Poland
Neon,Electricity
Dominican_Republic,Vietnam
Coronation_Street,London
Equatorial_Guinea,Uruguay
Continent,Country
Czech_Republic,Vietnam
Brunei,Country
Gabon,Panama
San_Marino,Latin_America
Ununoctium,Hydrogen
Promethium,Hydrogen
Equatorial_Guinea,North_America
Pakistan,Mexico
Florida,California
Argon,Rhenium
European_Parliament,Serbia
Oceania,Thailand
European_Kingfisher,United_Kingdom
Monarchy,Egypt
Singapore,Hungary
Nazi_Germany,Switzerland
Mercury_(element),Iodine
Togo,Honduras
Global_city,Russia
Lithium,Nitrogen
Burkina_Faso,Gabon
Nicaragua,Puerto_Rico
United_States_Congress,California
Luxembourg,Berlin
Commonwealth_Games,Tourism
El_Salvador,Country
Budapest,Hamburg
Middle_Ages,Ancient_Greece
Basel,Europe
Nottingham,Scotland
Cape_Verde,Greece
Iran,Poland
Belarus,Switzerland
Bromine,Magnesium
Astatine,Copper
Amsterdam,Belgium
Rugby_football,United_States
Central_African_Republic,Nicaragua
Italy,Venezuela
Bismuth,Chlorine
Tonga,Bangladesh
Belgium,Israel
El_Salvador,California
Egypt,Rome
Americium,Hydrogen
Genoa,China
Oman,Libya
Uruguay,Africa
Aluminium_chloride,List_of_elements_by_name
"Atlanta,_Georgia",India
Minnesota,Chicago
Bermuda,Scotland
Neon,Potassium
