Source,Target
Monarchy,Egypt
Volga_River,United_Kingdom
Neon,Potassium
Orkney,North_America
Burundi,Ireland
Fiji,Jamaica
Moscow,Indonesia
Brunei,Country
Amsterdam,Belgium
Barbados,Papua_New_Guinea
China,War
"Atlanta,_Georgia",India
Burkina_Faso,Gabon
Mammoth,Meat
Bahamas,Iceland
Niger,Middle_East
France,Nationalism
Nottingham,Scotland
War,Socialism
Oceania,Thailand
British_Indian_Ocean_Territory,Russia
Astatine,Copper
Guinea-Bissau,Barbados
Ukraine,Moscow
Basel,Europe
Genoa,China
Equatorial_Guinea,North_America
Falkland_Islands,Oceania
Gabon,Panama
Salt,Lead
Military_dictatorship,Government
Sodium,Plutonium
Tonga,Bangladesh
Arctic,India
Rhenium,Mining
Hydrogen,Calcium
Mongolia,Islam
Ununoctium,Hydrogen
Continent,Country
Middle_Ages,Ancient_Greece
Oman,Libya
Burkina_Faso,Malta
Global_city,Russia
Botswana,Netherlands
Botswana,Liberia
Environmental_science,Chlorine
Iran,Poland
Neon,Electricity
Belarus,Switzerland
Lithium,Nitrogen
Americium,Hydrogen
Belgium,Israel
Republic_of_the_Congo,India
Bosnia_and_Herzegovina,Asia
Tajikistan,Mesopotamia
George_V_of_the_United_Kingdom,Charles_I_of_England
Linguistics,Latin
Poland,Canada
Nicaragua,Barbados
Palau,Israel
Turtle,Bird
Navassa_Island,Portugal
European_Kingfisher,United_Kingdom
Myanmar,Ottoman_Empire
Chad,Barbados
El_Salvador,Country
The_Gambia,Dominican_Republic
Argon,Rhenium
Irish_Sea,New_Zealand
Florida,California
Antarctic_Treaty_System,North_America
Uruguay,Africa
Arctic,England
Equatorial_Guinea,Uruguay
Dominican_Republic,Vietnam
Ozone,Pigment
United_Nations,Dominican_Republic
Zebra,Bird
Guinea-Bissau,Vanuatu
Promethium,Hydrogen
Nicaragua,Puerto_Rico
Bermuda,Scotland
Equatorial_Guinea,Yemen
Nazi_Germany,Switzerland
Benin,Istanbul
Cape_Verde,Greece
Honduras,Guinea
Banana,Food
Light,Mineral
Crime,Democracy
Rugby_football,United_States
Nazi_Germany,England
El_Salvador,California
