Source,Target
Belarus,Switzerland
Italy,Venezuela
Egypt,Rome
Bermuda,Scotland
Genoa,China
Florida,California
Americium,Hydrogen
Linguistics,Latin
Iran,Poland
England,Uganda
Portugal,New_Zealand
United_Kingdom,Henry_IV_of_England
Uruguay,Africa
Falkland_Islands,Oceania
Belgium,Israel
Volga_River,United_Kingdom
Orkney,North_America
Ununoctium,Hydrogen
Military_dictatorship,Government
Botswana,Netherlands
Republic_of_the_Congo,India
Turkish_Republic_of_Northern_Cyprus,Spain
Nottingham,Scotland
Pitcairn_Islands,France
Mongolia,Islam
Minnesota,Chicago
Japan,Judaism
Middle_Ages,Ancient_Greece
Basel,Europe
Nazi_Germany,England
Equatorial_Guinea,Belgium
Global_city,Russia
Coronation_Street,London
"Atlanta,_Georgia",India
Germany,Global_city
France,Global
Promethium,Hydrogen
Commonwealth_Games,Tourism
France,Santorini
British_Indian_Ocean_Territory,Russia
Amsterdam,Belgium
Monarchy,Egypt
Antarctic_Treaty_System,North_America
Equatorial_Guinea,North_America
Lithium,Nitrogen
Palestinian_territories,Russia
Rugby_football,United_States
Palau,Israel
Cape_Verde,Greece
France,Nationalism
"Newark,_New_Jersey",London
Brussels,Portugal
Poland,Canada
European_Kingfisher,United_Kingdom
Neon,Electricity
Arctic,India
Astatine,Copper
India,Ancient_Greece
William_II_of_England,British_Isles
