Source,Target
Americium,Hydrogen
Iran,Poland
Uruguay,Africa
Hydrogen,Calcium
"Atlanta,_Georgia",India
Neodymium,Petroleum
Nicaragua,Puerto_Rico
Oceania,Thailand
Global_city,Russia
Mongolia,Islam
Volga_River,United_Kingdom
Republic_of_the_Congo,India
Coronation_Street,London
European_Kingfisher,United_Kingdom
Marseille,Ukraine
Equatorial_Guinea,North_America
Cape_Verde,Greece
Suburbs_of_Johannesburg,Africa
Belarus,Switzerland
Belgium,Israel
Tripoli,Poland
Pitcairn_Islands,France
Mercury_(element),Iodine
Navassa_Island,Portugal
Basel,Europe
Promethium,Hydrogen
Karachi,Africa
Philippines,Libya
Selenium,Neon
El_Salvador,California
Oman,Libya
Florida,California
Iodine,Ultraviolet
Bermuda,Scotland
Turkish_Republic_of_Northern_Cyprus,Spain
Genoa,China
Rugby_football,United_States
Middle_Ages,Ancient_Greece
Botswana,Netherlands
Neon,Electricity
Astatine,Copper
British_Indian_Ocean_Territory,Russia
