Source,Target
Falkland_Islands,Oceania
Amsterdam,Belgium
Arctic,India
European_Kingfisher,United_Kingdom
Basel,Europe
Cape_Verde,Greece
India,Ancient_Greece
Pitcairn_Islands,France
Equatorial_Guinea,Belgium
Orkney,North_America
France,Santorini
Belgium,Israel
Portugal,New_Zealand
Astatine,Copper
Volga_River,United_Kingdom
Florida,California
Promethium,Hydrogen
Botswana,Netherlands
Japan,Judaism
Brussels,Portugal
Americium,Hydrogen
Nazi_Germany,England
"Atlanta,_Georgia",India
Poland,Canada
Germany,Global_city
Uruguay,Africa
Antarctic_Treaty_System,North_America
Mongolia,Islam
France,Global
Lithium,Nitrogen
Commonwealth_Games,Tourism
Neon,Electricity
Nottingham,Scotland
"Newark,_New_Jersey",London
Linguistics,Latin
Coronation_Street,London
Palestinian_territories,Russia
Iran,Poland
Equatorial_Guinea,North_America
William_II_of_England,British_Isles
United_Kingdom,Henry_IV_of_England
Middle_Ages,Ancient_Greece
Ununoctium,Hydrogen
British_Indian_Ocean_Territory,Russia
Rugby_football,United_States
Egypt,Rome
France,Nationalism
Monarchy,Egypt
Bermuda,Scotland
Turkish_Republic_of_Northern_Cyprus,Spain
Minnesota,Chicago
Global_city,Russia
Palau,Israel
Genoa,China
Belarus,Switzerland
Italy,Venezuela
Military_dictatorship,Government
Republic_of_the_Congo,India
England,Uganda
